,,,,,,,,
Item OCLC Number,Title,Author Name,LHR Item Call Number,Conspectus Subject,Publisher Name,Publication Date,Circulation Activity Count,URL
14239676,Educational psychology /,"Hoy, Anita Woolfolk,; Hoy, Anita Woolfolk,",370.15 Wo913E, Educational Psychology,"Prentice-Hall,",1987,0,https://libswu.on.worldcat.org/oclc/14239676
14586920,Educational psychology :a cognitive approach /,"Mayer, Richard E.,",370.15 Ma468E, Educational Psychology,"Little, Brown,",1987,0,https://libswu.on.worldcat.org/oclc/14586920
15018439,The Psychology of illustration /,"Willows, Dale M.,Houghton, Harvey A.,",370.1523 Ps974, Educational Psychology,"Springer-Verlag,",1987,0,https://libswu.on.worldcat.org/oclc/15018439
16277824,Psychology for teaching :a bear always faces the front /,"Lefrançois, Guy R.",370.15 Le495P, Educational Psychology,"Wadsworth Pub. Co.,",1988,0,https://libswu.on.worldcat.org/oclc/16277824
16472816,Educational psychology :theory into practice /,"Slavin, Robert E.",370.15 Sl631E 1988, Educational Psychology,"Prentice Hall,",1988,0,https://libswu.on.worldcat.org/oclc/16472816
16646962,"Learning and study strategies :issues in assessment, instruction, and evaluation /","Weinstein, Claire E.Goetz, Ernest T.Alexander, Patricia A.",370.1523 Le488, Educational Psychology,"Academic Press,",1988,0,https://libswu.on.worldcat.org/oclc/16646962
17055713,An Experimental study of teaching science and mathematics concepts to young Thai children.,N/A,372.35 Ex96, Educational Psychology,"Behavioral Science Reserch [sic] Institute, Sri - Nakharinwirot University,",1976,0,https://libswu.on.worldcat.org/oclc/17055713
18137014,Educational psychology /,"Rothstein, Pamela R.",370.15 Ro847E, Educational Psychology,"McGraw-Hill,",1990,0,https://libswu.on.worldcat.org/oclc/18137014
20057424,Educational psychology reader :toward the improvement of schooling /,"Hamachek, Don E.",370.15 Ha199D, Educational Psychology,"Macmillan,",1990,0,https://libswu.on.worldcat.org/oclc/20057424
20263780,Educational psychology :a developmental approach /,"Sprinthall, Norman A.,; Sprinthall, Richard C.,",370.15 Sp769E 1990, Educational Psychology,"McGraw-Hill Pub. Co.,",1990,0,https://libswu.on.worldcat.org/oclc/20263780
21080968,Educational psychology :theory into practice /,"Slavin, Robert E.",370.15 Sl631E 1991, Educational Psychology,"Prentice Hall,",1991,0,https://libswu.on.worldcat.org/oclc/21080968
21799708,Essentials of educational psychology /,"Ďurič, Ladislav.; International Bureau of Education.",370.15 Du962E, Educational Psychology,"J. Kingsley Publishers, in association with Unesco,",1989,0,https://libswu.on.worldcat.org/oclc/21799708
21799708,Essentials of educational psychology /,"Ďurič, Ladislav.; International Bureau of Education.",370.15 Du962E  c.2, Educational Psychology,"J. Kingsley Publishers, in association with Unesco,",1989,0,https://libswu.on.worldcat.org/oclc/21799708
21799708,Essentials of educational psychology /,"Ďurič, Ladislav.; International Bureau of Education.",370.15 Du962E  c.3, Educational Psychology,"J. Kingsley Publishers, in association with Unesco,",1989,0,https://libswu.on.worldcat.org/oclc/21799708
21949275,Applying educational psychology in the classroom /,"Dembo, Myron H.",370.15 De375A, Educational Psychology,"Longman,",1991,0,https://libswu.on.worldcat.org/oclc/21949275
